Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","Localización, Localizar, Control, Gestión y Seguimiento GPS de flotas y moviles BlackBerry","http://www.intelogistica.com/es/","../www.intelogistica.com\es\es.html","HTML","14959","Wed, 25 Aug 2010 16:25:24 GMT","200 OK","0",""
"Parsed","","http://www.intelogistica.com/es/style.css","../www.intelogistica.com\es\style.css","HTML","7220","Mon, 26 Apr 2010 20:49:36 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/slimbox/css/slimbox.css","../www.intelogistica.com\es\slimbox\css\slimbox.css.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","","http://www.intelogistica.com/es/slider/js/jquery.js","../www.intelogistica.com\es\slider\js\jquery.js","HTML","57030","Mon, 26 Apr 2010 20:49:46 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","","http://www.intelogistica.com/es/slider/js/easySlider1.5.js","../www.intelogistica.com\es\slider\js\easySlider1.5.js","HTML","4236","Mon, 26 Apr 2010 20:49:45 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/slimbox/js/slimbox.js","../www.intelogistica.com\es\slimbox\js\slimbox.js","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","","http://www.intelogistica.com/es/hover.js","../www.intelogistica.com\es\hover.js","HTML","1063","Mon, 26 Apr 2010 20:49:33 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","","http://www.intelogistica.com/es/cufon/cufon-yui.js","../www.intelogistica.com\es\cufon\cufon-yui.js","HTML","18626","Mon, 26 Apr 2010 20:49:37 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","","http://www.intelogistica.com/es/cufon/Lacuna_Regular_400.font.js","../www.intelogistica.com\es\cufon\Lacuna_Regular_400.font.js","HTML","56823","Mon, 26 Apr 2010 20:49:38 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","","http://www.intelogistica.com/es/cufon/Aller_400.font.js","../www.intelogistica.com\es\cufon\Aller_400.font.js","HTML","131967","Mon, 26 Apr 2010 20:49:37 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","","http://ie7-js.googlecode.com/svn/version/2.0(beta3)/IE8.js","../ie7-js.googlecode.com\svn\version\2.0(beta3)\IE8.js","HTML","38172","Mon, 04 Feb 2008 15:39:30 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/graphic/sub1h.gif","../www.intelogistica.com\es\graphic\sub1h.gif.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/graphic/sub2h.gif","../www.intelogistica.com\es\graphic\sub2h.gif.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/graphic/sub3h.gif","../www.intelogistica.com\es\graphic\sub3h.gif.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/navi_sep.gif","../www.intelogistica.com\graphic\navi_sep.gif","Images","74","Wed, 16 Dec 2009 17:31:06 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/uk16-trans.png","../www.intelogistica.com\graphic\uk16-trans.png","Images","836","Wed, 16 Dec 2009 17:31:13 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/mx16-trans.png","../www.intelogistica.com\graphic\mx16-trans.png","Images","3046","Wed, 16 Dec 2009 17:31:05 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/es/slider/images/04-trans.png","../www.intelogistica.com\es\slider\images\04-trans.png","Images","113763","Mon, 26 Apr 2010 20:49:43 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/es/slider/images/05-trans.png","../www.intelogistica.com\es\slider\images\05-trans.png","Images","40425","Mon, 26 Apr 2010 20:49:43 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/es/slider/images/02-trans.png","../www.intelogistica.com\es\slider\images\02-trans.png","Images","107107","Mon, 26 Apr 2010 20:49:41 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/es/slider/images/03-trans.png","../www.intelogistica.com\es\slider\images\03-trans.png","Images","106013","Mon, 26 Apr 2010 20:49:43 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/es/slider/images/07-trans.png","../www.intelogistica.com\es\slider\images\07-trans.png","Images","100546","Mon, 26 Apr 2010 20:49:44 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/es/slider/images/08-trans.png","../www.intelogistica.com\es\slider\images\08-trans.png","Images","76625","Mon, 26 Apr 2010 20:49:45 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/home_flotas.jpg","../www.intelogistica.com\graphic\home_flotas.jpg","Images","41279","Wed, 16 Dec 2009 17:30:49 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/home_moviles.jpg","../www.intelogistica.com\graphic\home_moviles.jpg","Images","43339","Wed, 16 Dec 2009 17:52:52 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/home_tareas.jpg","../www.intelogistica.com\graphic\home_tareas.jpg","Images","43907","Wed, 16 Dec 2009 17:53:27 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/Clients-16x16-trans.png","../www.intelogistica.com\graphic\Clients-16x16-trans.png","Images","861","Wed, 16 Dec 2009 17:53:01 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Saved","","http://www.intelogistica.com/graphic/Text-Bubble-16x16-trans.png","../www.intelogistica.com\graphic\Text-Bubble-16x16-trans.png","Images","795","Wed, 16 Dec 2009 17:31:12 GMT","200 OK","1","http://www.intelogistica.com/es/"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/graphic/bg.gif","../www.intelogistica.com\es\graphic\bg.gif.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/header.gif","../www.intelogistica.com\graphic\header.gif","Images","1955","Wed, 16 Dec 2009 17:30:48 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/graphic/cuadro.png","../www.intelogistica.com\graphic\cuadro.png.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/LOGOI2L-trans.png","../www.intelogistica.com\graphic\LOGOI2L-trans.png","Images","8468","Mon, 28 Dec 2009 14:03:38 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/fondo.gif","../www.intelogistica.com\graphic\fondo.gif","Images","29678","Wed, 16 Dec 2009 17:53:25 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/featured_under_bg.gif","../www.intelogistica.com\graphic\featured_under_bg.gif","Images","9872","Wed, 16 Dec 2009 17:53:17 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/es/slider/images/btn_prev-trans.png","../www.intelogistica.com\es\slider\images\btn_prev-trans.png","Images","3682","Mon, 26 Apr 2010 20:49:45 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/es/slider/images/btn_next-trans.png","../www.intelogistica.com\es\slider\images\btn_next-trans.png","Images","3694","Mon, 26 Apr 2010 20:49:45 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/Blue/graphic/content_bg.gif","../www.intelogistica.com\Blue\graphic\content_bg.gif.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/content_rt.gif","../www.intelogistica.com\graphic\content_rt.gif","Images","406","Wed, 16 Dec 2009 17:53:10 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/content_rb.gif","../www.intelogistica.com\graphic\content_rb.gif","Images","408","Wed, 16 Dec 2009 17:53:40 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/underline.gif","../www.intelogistica.com\graphic\underline.gif","Images","35","Wed, 16 Dec 2009 17:53:46 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Saved","","http://www.intelogistica.com/graphic/footer_bg.gif","../www.intelogistica.com\graphic\footer_bg.gif","Images","3383","Wed, 16 Dec 2009 17:30:47 GMT","200 OK","2","http://www.intelogistica.com/es/style.css"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/slider/js/images/01.jpg","../www.intelogistica.com\es\slider\js\images\01.jpg.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/slider/js/easySlider1.5.js"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/slider/js/images/02.jpg","../www.intelogistica.com\es\slider\js\images\02.jpg.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/slider/js/easySlider1.5.js"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/slider/js/images/03.jpg","../www.intelogistica.com\es\slider\js\images\03.jpg.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/slider/js/easySlider1.5.js"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/slider/js/images/04.jpg","../www.intelogistica.com\es\slider\js\images\04.jpg.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/slider/js/easySlider1.5.js"
"Parsed","Localizacion, SEGUIMIENTO, GESTION y Control GPS de flotas camiones, VEHICULOS, coches, furgonetas y moviles BlackBerry, Windows, Nokia, Android","http://www.intelogistica.com/es/slider/js/images/05.jpg","../www.intelogistica.com\es\slider\js\images\05.jpg.html","HTML","3805","Mon, 02 Aug 2010 20:46:25 GMT","200 OK","2","http://www.intelogistica.com/es/slider/js/easySlider1.5.js"
"Saved","","http://ie7-js.googlecode.com/svn/version/2.0(beta3)/blank.gif","../ie7-js.googlecode.com\svn\version\2.0(beta3)\blank.gif","Images","48","Sun, 03 Feb 2008 19:28:13 GMT","200 OK","2","http://ie7-js.googlecode.com/svn/version/2.0(beta3)/IE8.js"
